section,pdf_page,codebook_page,question_id,variable,length,label,question_text,notes,value_count
RECODED DEMOGRAPHICS,647,609,,NEWRACE2,1,RC-RACE/HISPANICITY RECODE (7 LEVELS),,,7
RECODED DEMOGRAPHICS,647,609,"IRSEX, NEWRACE2",SEXRACE,1,RC-COMBINED GENDER BY RACE INDICATOR,,,7
RECODED DEMOGRAPHICS,647,609,IREDUHIGHST2,EDUHIGHCAT,1,RC-EDUCATION CATEGORIES,,,5
RECODED DEMOGRAPHICS,647,609,HEALTH,HEALTH2,1,RC-OVERALL HEALTH RECODE,,,5
EDUCATION,648,610,"QD17, QD17A, QD17B",EDUSCHLGO,2,NOW GOING TO SCHOOL,"NOTE: EDUSCHLGO takes into account information from follow-up probes if respondents originally reported that they were not enrolled in school. Based on these probes, respondents were coded as yes (i.e., enrolled) if they were on break from school and intended to return to school once their break was over. EDUSCHLGO was assigned a code of 11 if the respondent reported currently being enrolled but there was uncertainty about the respondent's school enrollment status. The next questions are about school. By 'school', we mean elementary school, junior high or middle school, high school, or a college or university. Please include home schooling as well. Do you go to school? If you are on a holiday or break from school, such as spring break or summer vacation, but plan to return when the break is over, please answer yes.",,7
EDUCATION,648,610,QD18,EDUSCHGRD2,2,WHAT GRADE IN NOW/WILL BE IN,What grade or year of school are you now attending? What grade or year of school will you be attending when your vacation is over?,,13
EDUCATION,648,610,QD19,EDUFULPAR,2,FULL OR PART TIME,Are you a full-time student or a part-time student? Will you be a full-time student or a part-time student?,,7
EDUCATION,649,611,QD20,EDUSCKMON,2,HOW MANY DAYS MISSED SCHOOL FROM SICK,"During the past 30 days, that is, from [DATEFILL] up to and including today, how many whole days of school did you miss because you were sick or injured? Please do not include days you missed because you stayed home with a sick child or other family member.",,8
EDUCATION,649,611,QD20DKRE,EDUSCKEST,2,BEST ESTIMATE # DAYS MISSED BECAUSE SICK OR INURED,What is your best estimate of the number of whole days of school you missed because you were sick or injured during the past 30 days?,"NOTE: EDUSCKCOM is a recoded variable that incorporates data from EDUSCKMON (if respondents reported a valid number of days that they missed school in QD20 or they reported that school was not in session) or EDUSCKEST (if respondents were asked question QD20DKRE because they answered QD20 as ""don't know"" or ""refused""). If respondents reported in QD20DKRE that they missed school on ""3 to 5 days"" or on ""6 or more days,"" then EDUSCKCOM was assigned the value at the midpoint in the range (i.e., 4 days or 18 days, respectively).",10
EDUCATION,649,611,"QD20, QD20DKRE",EDUSCKCOM,2,RC - HOW MANY DAYS MISSED SCHOOL FROM SICK (COMBINED),,,6
